Artist,Total Appearances 2024
21 Savage,986.9014628433313
99 Percent,0.0
A R I Z O N A,0.0
A$AP Rocky,10.084879328664783
AJR,29.54535236389654
Adele,805.1385651508764
Alan Walker,17.251669746935086
Alessia Cara,17.9064440685633
Alok,62.33293934514511
Aminé,18.145048824340908
Andy Grammer,48.246391703698144
Anne-Marie,329.12068792790683
Anuel AA,193.22726005446688
Ariana Grande,848.1502675867398
BIA,265.20793353900916
Bebe Rexha,346.01293396970976
Beyoncé,301.1120013491001
Big Sean,412.214449071116
Bipolar Sunshine,0.0
Bright Sparks,0.0
Bruno Mars,407.81867228531786
Bruno Martini,0.0
Bryson Tiller,7.919630943222556
CMC$,0.0
CNCO,174.33530970977532
Cali Y El Dandee,107.9500328750552
Callie Herndez,0.0
Calum Scott,293.9483949458814
Calvin Harris,655.2180393060792
Carlos Vives,36.021838012161126
Cashmere Cat,154.6832721225744
Cedric Gervais,0.0
Chance the Rapper,190.9835986805924
Charlie Puth,185.95943355643743
Charly Black,0.0
Cheat Codes,136.65813065135598
Childish Gambino,7.817255885608763
Chino & Nacho,0.0
Chris Brown,695.435986188701
Chris Willis,0.0
Clean Bandit,24.499845870278513
Coldplay,985.2806864262245
Cosculluela,34.465863737730366
DJ Snake,-67.74544948171086
DNCE,16.409819309527947
DVBBS,0.0
Daddy Yankee,13.356580980360528
Daft Punk,352.68436756647526
Dakota,0.0
Dante Klein,0.0
David Guetta,533.5941481295137
Desiigner,0.0
Don Omar,303.21892423985565
Drake,1306.2875230225823
Dua Lipa,481.5341033377158
Dyo,0.0
Ed Sheeran,1546.8999335289104
El Chacal,0.0
Emily Warren,0.0
Eminem,1693.1980652414113
Emma Stone,0.0
Enrique Iglesias,-8.053699422957424
FRENSHIP,0.0
Farruko,51.388980160383895
Fetty Wap,48.98615093245225
Fifth Harmony,0.0
Flo Rida,0.0
Flume,151.12314898608975
Foster The People,6.020066706499142
Future,692.7665500114267
G-Eazy,13.307256294413673
Galantis,99.02063107383702
Gente De Zona,220.20433169158105
Grey,11.699705509313494
Gucci Mane,-7.906096315052766
Hailee Steinfeld,14.420753366483478
Halsey,22.902348026217194
Hearts & Colors,0.0
Hook N Sling,0.0
Hozier,172.06587770434828
IAmChino,0.0
Imagine Dragons,965.0778861526688
Isaiah Firebrace,0.0
J Balvin,15.489009683902987
J. Cole,334.0396101739374
JAY-Z,40.07400229517484
JP Cooper,0.0
James Arthur,284.1623869486482
James Bay,16.296516142634292
James Blunt,0.0
James Hersey,0.0
Jax Jones,33.85343360861916
Jessica Rothe,0.0
Joel Adams,0.0
John Legend,11.472684535478999
John Mayer,81.93366890994172
Jon Bellion,0.0
Jos Blue,245.93071750623852
Julia Michaels,13.746314574698408
Justin Bieber,817.1990947859654
Justin Hurwitz,0.0
Justin Timberlake,74.1656544323514
KREAM,0.0
KYLE,104.01237052026103
Kanye West,205.7497649038803
Kendrick Lamar,302.858028911959
Kiiara,0.0
Kodak Black,180.4896001951408
Kris Kross Amsterdam,-23.32388701343747
Kungs,-1.758553566108239
Kygo,142.7405353224628
Kyla,347.3736772072561
La La Land Cast,0.0
Labrinth,241.0660379188639
Lady Gaga,205.98219549506027
Lauv,122.11346397807766
Lil Uzi Vert,358.21516060133456
Lil Wayne,41.19224408662944
Little Mix,46.21045709890588
London Grammar,11.999999874306566
Louis Tomlinson,8.303406626040712
Luis Fonsi,18.87353968909512
Lukas Graham,16.995213523107306
Luke Christopher,0.0
M.I.A.,0.0
MC G15,23.993094318358168
Machine Gun Kelly,130.75634458554572
Macklemore & Ryan Lewis,338.027053150278
Major Lazer,15.531993386445148
Maluma,12.860565285596248
Marc E. Bassy,0.0
Mark Morrison,16.738202262024515
Mark Ronson,27.862074356876363
Maroon 5,267.3352847267124
Martin Garrix,45.16185244402575
Martin Jensen,23.69521782154066
Marvin Gaye,12.000005694754106
Matoma,0.0
Metro Boomin,1111.7702436226912
MiC LOWRY,0.0
Michael Jackson,12.960682936757143
Migos,63.87734733117949
Mike Perry,0.0
Mike Posner,2.720954893432875
Milky Chance,0.0
Mura Masa,0.0
MØ,5.340632020525896
NEIKED,91.01654821131794
Nate Dogg,-55.24136450661409
Nause,0.0
Nevada,0.0
Niall Horan,-3.2734329653607714
Nicki Minaj,187.5525781482122
Nicky Jam,167.97080033621236
Noah Cyrus,55.84807519090563
Oasis,32.69209177727038
Olivia Holt,0.0
Ozuna,351.7039950861169
PARTYNEXTDOOR,161.59662543573484
Passenger,31.079233938115188
Petit Biscuit,0.0
Pharrell Williams,100.87724407479936
Phoebe Ryan,0.0
Piso 21,9.28097880094998
PnB Rock,8.231094331156765
Post Malone,814.338348661075
Quavo,20.42123479106268
Queen,44.4948850479059
RAYE,345.6970287338311
Rae Sremmurd,144.1117256959448
Rag'n'Bone Man,0.0
Ricky Martin,54.633322782695515
Rihanna,453.4928058757072
Rob $tone,0.0
Robin Schulz,129.28324017608384
Rudimental,167.5460022170756
Ryan Gosling,0.0
Sage The Gemini,0.0
Sam Smith,426.8042187228873
San Holo,0.0
Sean Paul,390.5169344210725
Sebastian Yatra,210.95473022477907
Selena Gomez,347.38878110574194
Shakira,856.5970300561002
Shawn Mendes,345.0917085827866
Shelley FKA DRAM,0.0
Sia,342.5778394509304
Skehips,0.0
Skrillex,130.12246810158703
Sky Rompiendo,92.11594546667108
Sonoya Mizuno,0.0
Stanaj,0.0
Starley,13.832565473149113
State of Sound,0.0
Steve Aoki,108.97463591196212
Stevie Wonder,6.871643843481222
Tammi Terrell,12.000005694754106
Taylor Swift,2443.338212636432
Thalia,112.8430207434815
The Chainsmokers,115.84220477444921
The Jackson 5,23.261382237097767
The Killers,106.35704636921635
The Vamps,0.0
The Weeknd,3668.077949462111
The xx,0.0
Tiësto,-40.85135403485476
Tove Lo,9.438755127659354
Travis Scott,311.1653151657502
Twenty One Pilots,383.33468409631416
Tyga,387.2206087897175
Ugly God,12.000006870519316
Vice,0.0
VÉRITÉ,0.0
Wisin,-109.77898204009139
WizKid,6.186331804068533
XYLØ,0.0
Young M.A,0.0
Young Thug,352.10123113963056
ZAYN,65.36119501839114
Zara Larsson,126.22838650286843
Zay Hilfigerrr,0.0
Zayion McCall,0.0
Zedd,24.72881433042337
Zeeba,0.0
Zion & Lennox,176.28538162828056
gnash,0.0
kai,0.0
Aaron Carter,0.0
Alejandro Fernández,0.0
Alesso,31.082733558089622
Arrhult,0.0
Axwell /\ Ingrosso,14.547626279321573
Ayo & Teo,0.0
BTS,736.2177504177542
Bag Raiders,0.0
Bahari,0.0
Bon Iver,11.999999882177862
Burak Yeter,0.0
Christi Perri,1.3174445248229218
DJ Khaled,164.01162985644103
Danelle Sandoval,0.0
Danny Ocean,20.42485944437493
Ellie Goulding,347.53441094751895
Jason Derulo,187.68040983132053
Jeremih,0.0
Jillian Edwards,0.0
Joakim Lundell,0.0
Journey,21.338372085845055
KALEO,0.0
Katy Perry,38.456588485146874
Khalid,355.9358457309351
Kid Ink,0.0
Lana Del Rey,810.8607853568025
Linkin Park,68.80265843711656
MAX,266.59155099049747
MC Kevinho,-8.707248034203095
Marian Hill,0.0
Mikky Ekko,131.9999905893277
Morat,7.342285200772154
Nick Jos,-47.141055616685875
Sabrina Carpenter,148.0008292282784
Sam Hunt,15.837649765032225
Shaggy,-2.5294080189028625
Sigrid,0.0
Skip Marley,0.0
Snow Patrol,0.0
Starrah,0.0
Stormzy,50.6143469039317
TWENTY88,0.0
The Flint Chozen Choir,0.0
The Goo Goo Dolls,106.08849161936027
The-Dream,71.99979427861845
Thomas Gold,0.0
V,136.45172674547743
XXXTENTACION,112.6365413875794
2 Chainz,153.0414918880023
Astrid S,0.0
Black Coffee,0.0
Boef,4.227270780047091
Chuck Berry,30.20770988019675
Frank Ocean,164.49890942498445
Giggs,0.0
Gorillaz,75.92966646556887
Gryffin,7.48259884666382
Hot Shade,0.0
ILLENIUM,259.57674001743896
Iggy Azalea,0.0
Jorja Smith,366.2269188249853
Logic,26.361979697912794
Lorde,149.75500382674505
MNEK,-111.453423000225
Nano,0.0
P!nk,121.11466769449088
Pitbull,11.502204289751875
Prince Royce,142.56623500428873
Robin Bengtsson,0.0
Russ,3.6704982281146528
Sampha,180.00000069165142
Stargate,0.0
Wiktoria,0.0
alt-J,0.0
cho,209.2799049015979
A Boogie Wit da Hoodie,13.460810381680577
Arcangel,8.911261523624413
Chris Jedi,161.72478130920632
Damian Lemar Hudson,0.0
Fall Out Boy,0.0
Florida Georgia Line,264.292326354205
French Montana,79.64352311594664
