Artist,Total Points 2024
The Weeknd,291866.930209081
Taylor Swift,265442.6996357866
Bad Bunny,225249.30313296005
Feid,209997.596481379
Miley Cyrus,135309.29679343148
SZA,134024.58640446624
Shakira,127026.15362091709
Arctic Monkeys,114261.01063693344
Eminem,113754.36707460001
Harry Styles,111204.51618307098
Nat King Cole,110563.55764398447
Coldplay,109840.37626854863
KAROL G,99506.27269577242
Ed Sheeran,95146.73834302637
Kali Uchis,92874.8884510979
Drake,89323.11435217781
Manuel Turizo,80673.63350324647
Imagine Dragons,78057.72211997435
Junior H,77126.69855735922
OneRepublic,76618.81651221134
Vegedream,76185.66323487567
SCH,72806.42498039435
JVKE,71376.31381029988
David Kushner,70839.9394626058
Jimin,68208.62388595803
J. Cole,67724.95912294845
Morgan Wallen,67012.5610655532
The Beach Boys,66860.81583372178
Tina Turner,64342.341012979
John Mayer,61855.63505587292
Tom Odell,58992.90200833095
Adele,57943.22646984405
Lana Del Rey,56880.95191286539
Chuck Berry,53044.09271686761
Kylie Minogue,51820.68286368367
Bizarrap,51646.77331704158
Glass Animals,51025.35194255464
The Neighbourhood,50976.0891866415
Metro Boomin,50697.645702218084
Paul McCartney,50336.48655502511
*NSYNC,50312.7206220729
Leo Lewis,49997.08076414428
Justin Bieber,49624.86160356307
Ruth B.,48932.35117917761
Chris Rea,47993.65118864158
David Guetta,47786.84952777167
Stephen Sanchez,47701.864415107164
Shakin' Stevens,46716.356979830394
Mariah Carey,46380.528149824124
Post Malone,46149.46142134171
Kelly Clarkson,45486.43271412798
Chris Brown,44333.756876844614
Tony Bennett,44013.6531273399
Band Aid,43784.49862061625
Burl Ives,43783.303611781
The Ronettes,42751.818525215735
Brenda Lee,42648.78884823931
Kendrick Lamar,41445.109253951625
21 Savage,40816.30677110383
ENHYPEN,40800.82007135152
Bobby Helms,40774.20980534327
Darlene Love,39490.85468251264
Wham!,39445.087041404084
TWICE,38109.692202610604
Dua Lipa,38051.96394386767
One Direction,37975.41982091297
Lil Uzi Vert,37966.83508660956
Dean Martin,36994.73141216628
Eslabon Armado,36504.677571691645
Ariana Grande,35183.641574647314
Lewis Capaldi,34501.56502978549
ROSALÍA,34129.51703262789
Miguel,33914.73347466867
Selena Gomez,33880.2614236626
(G)I-DLE,33879.688383378976
"Tyler, The Creator",33303.87745302123
Rauw Alejandro,32953.62429934577
Yandel,32198.620868668873
Sabrina Carpenter,32033.602253837278
PinkPantheress,31462.367779933455
Beyoncé,30999.382365645597
Bebe Rexha,30965.45162183907
Calvin Harris,30808.833347464206
Michael Bublé,29636.814155118926
Daft Punk,29546.049377908043
2 Chainz,28981.696204768054
Steve Lacy,28872.870961135122
Em Beihold,28842.155435444547
ScHoolboy Q,28379.513620250036
Jonas Brothers,28155.74336643517
Sam Smith,27760.694716932194
Kim Petras,27647.906390265736
The Pogues,27563.743727398192
Ozuna,27490.93302274571
Twenty One Pilots,27324.42974233032
John Lennon,27210.262221166282
Yoko Ono,27210.262221166282
Yahritza Y Su Esencia,27066.326075566638
Lorde,26941.248056273576
Vance Joy,26823.40600054035
Frank Sitra,26811.50567446628
Eladio Carrion,26697.689903385584
Big Sean,26229.140583241446
Pentatonix,25893.90406342949
B. Swanson Quartet,25863.833553536264
Lil Durk,25672.374576498107
Quevedo,25555.581707603604
Jay Rock,24971.66628565287
Katy Perry,24852.581512672245
Mitchell Ayres & His Orchestra,24731.5127082401
Chencho Corleone,24667.352827155388
Eden Muñoz,24512.822377912795
Quality Control,24495.15727720871
Ellie Goulding,24361.03522814354
a-ha,23821.538613843153
Whitney Houston,23625.366327335352
The Fontane Sisters,23141.699963954467
Black Eyed Peas,22919.34593904476
Lazza,22503.09147368507
Becky G,22410.01955655798
The Kid LAROI,22161.7991927743
070 Shake,21901.105140156134
G-Eazy,21431.126215375785
Britney Spears,21198.187379021507
RAYE,21119.80464342587
Polo G,20664.97730174219
Melanie Martinez,20664.611614345988
Perry Como,20535.521087191904
Arcángel,20532.63078988219
Frank Sinatra,20379.03000752005
Migos,20114.901733057075
Marshmello,19716.991513452864
Pop Smoke,19713.914182047098
Florence + The Machine,19561.291925852554
Juju,19400.179355690052
Jhay Cortez,19293.37904271727
Carin Leon,18700.53927485383
Queen,18673.544419984217
Rihanna,18566.498114073947
Swae Lee,18427.723460680492
PnB Rock,18273.22521527526
Gucci Mane,17835.896823363473
Jack Harlow,17585.360239511203
The Killers,17366.184516874957
Cashmere Cat,17152.804543097205
BTS,16876.92249820505
Anne-Marie,16851.956831109106
Bomba Estéreo,16718.148749156
Gorillaz,16261.013570771971
Khalid,16068.654806219114
Niall Horan,15982.736309721598
Billie Eilish,15800.697716453225
Jorja Smith,15598.677742849128
Taiu,15522.899801995609
BROCKHAMPTON,15402.699749180736
Jung Kook,15248.689664211315
DJ Snake,15146.07088081104
Bruce Springsteen,14762.947813319424
TINI,14735.433178840347
Joji,14234.915647607026
Ken Darby Singers,14147.44106545635
John Scott Trotter & His Orchestra,14147.44106545635
Alessia Cara,13863.476735871627
Lil Nas X,13838.583902192673
Future,13838.296830271654
Don Omar,13734.276536207533
Kris Kross Amsterdam,13713.807683446965
Luke Combs,13666.20244822715
Daya,13396.563195385575
NLE Choppa,13379.63310568321
6ix9ine,13327.8047459289
Muni Long,13298.227441591262
Lucenzo,13197.652114843004
Meek Mill,13040.51139625036
Mari Ferndez,12961.914764403235
The Harlem Community Choir,12879.37145943999
The Plastic Ono Band,12879.37145943999
Agust D,12789.374993676185
Kodak Black,12735.833155040766
Clean Bandit,12538.208859912798
Charlie Puth,12308.12859016355
Lil Skies,12119.256760828814
Cardi B,12101.005570953424
French Montana,11970.155021431812
Luar La L,11928.465080037913
Lukas Graham,11919.245112491688
Why Don't We,11881.155081934188
TOMORROW X TOGETHER,11714.241509955289
Elton John,11669.389880585823
Diplo,11386.86023484231
Young Thug,11329.156760896321
PNAU,11205.877173160174
MAX,11203.85475852091
Travis Scott,11156.236080629114
Ski Mask The Slump God,11039.477548880164
NF,11034.434205778745
A$AP Ferg,10192.291509080069
Mozzik,10190.095131635331
KSI,10075.53779459346
Brett Eldredge,10058.593729719072
Dan + Shay,9894.755985888014
Loreda,9868.756477736031
Lennon Stella,9788.714192621765
G Herbo,9741.462504256928
Doja Cat,9601.799735630579
De La Ghetto,9503.152883940591
Rels B,9487.100845796402
Anuel AA,9437.094700594094
H.E.R.,9324.059612511997
John Legend,9262.82032704687
Gryffin,9175.288408800183
DNCE,9149.436726029518
Stray Kids,9059.531823804207
Sia,9054.223902598918
Kehlani,9022.321613219086
Bruno Mars,9015.495858795704
LISA,8962.458444264385
Summer Walker,8875.11568470595
Tory Lanez,8872.105887707896
Luciano,8827.074544797531
Avril Lavigne,8807.78932489734
Blessd,8754.422728410129
Juice WRLD,8742.029689821691
Bring Me The Horizon,8711.300219562221
beabadoobee,8661.984918903994
Fleetwood Mac,8658.743699791165
Major Lazer,8535.611152751659
Burna Boy,8510.441235134314
Mason Ramsey,8393.315654584763
Dominic Fike,8358.992359744814
The Police,8253.70599258397
Labrinth,8165.127366182625
Sean Paul,8156.709692069469
Miksu / Macloud,7918.551134680433
SAINt JHN,7900.307386490522
George Ezra,7779.619134633483
Zedd,7655.267372236895
Idina Menzel,7539.055463739784
Nicky Jam,7454.779964452895
Zé Felipe,7294.227784282242
Rita Ora,7182.540083755281
NEIKED,7106.938595097259
Marília Mendonça,7047.814800910184
Starley,7034.259431304452
Lizzo,6960.565022935902
Aminé,6884.657320005256
Timbaland,6876.553457343871
Nelly Furtado,6876.553457343871
Pitbull,6876.013565567716
Valerie Broussard,6814.889043843039
blackbear,6792.753997507901
Masked Wolf,6648.417940331903
Loud Luxury,6620.675710507932
Trippie Redd,6582.013924828794
Imanbek,6571.270514132044
Israel & Rodolffo,6538.3779328583705
YoungBoy Never Broke Again,6510.068481885595
LE SSERAFIM,6485.140405862534
Jennifer Lopez,6479.146482894895
Bradley Cooper,6464.476307823374
Stormzy,6442.372610169437
Don Toliver,6417.063849539758
Mari Fernandez,6405.305929630224
Natti Natasha,6332.88511669221
YNW Melly,6326.114429477975
Nile Rodgers,6178.937890355897
j-hope,6172.438617535079
Ofenbach,6150.567951507463
Sandro Cavazza,6013.849362043868
Louis Tomlinson,5975.590189732562
Ufo361,5972.860070255274
Zé Neto & Cristiano,5971.742593940731
Fousheé,5954.333950833599
Jess Glynne,5939.358296013506
Playboi Carti,5912.122452337485
Macklemore,5875.835005454132
Romeo Santos,5861.555589825819
Avicii,5724.747772549061
ZAYN,5716.7828334699525
SUGA,5697.242996348799
Alicia Keys,5694.199276783754
50 Cent,5685.46234749954
Sebastian Yatra,5670.053070871416
DJ Luian,5662.3299541425295
Mambo Kingz,5662.3299541425295
Mark Ronson,5661.733710937863
Rod Wave,5638.180036229385
benny blanco,5631.786936376595
Meghan Trainor,5587.72318685391
P!nk,5572.053032661289
Sampha,5557.475334977751
JIN,5540.189255155778
Beéle,5397.362736305341
Nicki Minaj,5349.197296946106
Thalia,5346.867091226144
Tate McRae,5246.426696891638
Tiësto,5221.177418037041
Roddy Ricch,5199.890031132593
Cheat Codes,5120.902595428068
Lil Tjay,5093.1839840404955
Baby Keem,4909.111143210384
Charli XCX,4864.322853387697
Ray Dalton,4853.690694787483
Ryan Lewis,4853.690694787483
Ty Dolla $ign,4847.2893155640195
BLACKPINK,4770.747386384891
James Arthur,4770.163927782018
CNCO,4761.059168440392
Martin Garrix,4743.119308913371
Madison Beer,4700.735830102476
Macklemore & Ryan Lewis,4697.289772464197
Paramore,4644.271365108103
Daryl Hall & John Oates,4638.534235125589
Tom Walker,4620.89055062504
Portugal. The Man,4597.473893512033
Lady Gaga,4595.571683724345
Sam Hunt,4550.877908479944
Gesaffelstein,4497.227435319726
Liam Payne,4436.924400107295
Juicy J,4428.3233446882405
Sheck Wes,4393.934304592172
Kygo,4373.3093734740105
Linkin Park,4357.168734060253
José Feliciano,4339.103719924621
Fedez,4312.190840795223
Joel Corry,4300.128872433332
Sky Rompiendo,4250.2267046147435
Arizo Zervas,4249.831087883829
Maiara & Maraisa,4239.856041251672
Saweetie,4239.830240156838
Reik,4146.033099427599
Lauv,4142.869842018827
Boney M.,4122.168738342565
Naps,4051.5925027626695
Pharrell Williams,4019.048143677611
Wesley Safadão,4013.9875422388895
Mahmood,3945.3458002983007
Rich The Kid,3885.3574268884877
Axwell /\ Ingrosso,3840.0611921399623
Flume,3820.748117364236
Jessie Reyez,3800.482270576062
