Unnamed: 0,Artist (Ind.),Year,Month,Rank,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Points (Total),Appearances,artist_popularity
0,21 Savage,2017,1,93.21505376344086,0.8490000000000001,0.4716666666666667,-5079.9366666666665,0.3173333333333333,0.1713333333333333,0.3496666666666666,107.78494623655914,93,89.0
1,99 Percent,2017,1,133.64285714285714,0.7860000000000001,0.854,-4247.0,0.052,0.073,0.687,67.35714285714286,28,44.0
2,A R I Z O N A,2017,1,137.5909090909091,0.617,0.642,-8624.0,0.033,0.13,0.221,63.40909090909091,22,57.0
3,A$AP Rocky,2017,1,165.96296296296296,0.665,0.771,-5124.0,0.14,0.126,0.732,35.03703703703704,27,86.0
4,AJR,2017,1,73.16129032258064,0.6729999999999999,0.637,-4518.0,0.043,0.1369999999999999,0.678,127.83870967741936,31,29.0
5,Adele,2017,1,115.95959595959596,0.5763939393939393,0.6037070707070706,-1913.56595959596,0.0681010101010101,0.1454040404040404,0.4308181818181817,85.04040404040404,99,32.0
6,Alan Walker,2017,1,60.64516129032258,0.6325000000000001,0.79,-4145.5,0.0385,0.1075,0.1615,140.3548387096774,62,82.0
7,Alessia Cara,2017,1,31.83870967741936,0.4435,0.647,-4803.37,0.2495,0.093,0.305,169.16129032258064,62,75.0
8,Alok,2017,1,31.193548387096776,0.788,0.43,-7757.0,0.042,0.537,0.461,169.80645161290323,31,15.0
9,Aminé,2017,1,44.96774193548387,0.945516129032258,0.384741935483871,-8795.709677419354,0.49,0.2862258064516129,0.7342903225806451,156.03225806451613,31,68.0
10,Andy Grammer,2017,1,110.0,0.822,0.544,-6797.0,0.033,0.562,0.861,91.0,31,71.0
11,Anne-Marie,2017,1,182.0,0.756,0.589,-5093.0,0.232,0.081,0.811,19.0,9,79.0
12,Anuel AA,2017,1,168.85714285714286,0.639,0.869,-4024.0,0.147,0.27,0.767,32.142857142857146,7,89.0
13,Ariana Grande,2017,1,70.48387096774194,0.642,0.7325,-5867.5,0.1765,0.0285,0.4805,130.51612903225808,62,93.0
14,BIA,2017,1,48.29032258064516,0.508,0.687,-4361.0,0.326,0.551,0.555,152.70967741935485,31,8.0
15,Bebe Rexha,2017,1,80.04301075268818,0.6183333333333334,0.682,-5834.666666666667,0.0626666666666666,0.0423333333333333,0.3003333333333333,120.95698924731182,93,81.0
16,Beyoncé,2017,1,188.0,0.422,0.712,-5907.0,0.1,0.273,0.471,13.0,1,87.0
17,Big Sean,2017,1,100.78947368421052,0.7945964912280702,0.5508245614035088,-5472.456140350877,0.1928245614035087,0.0772631578947368,0.3218070175438596,100.21052631578948,57,78.0
18,Bipolar Sunshine,2017,1,124.38709677419357,0.611,0.7,-5331.0,0.044,0.02,0.213,76.61290322580645,31,61.0
19,Bright Sparks,2017,1,164.0,0.629,0.764,-4023.0,0.036,0.01,0.577,37.0,4,41.0
20,Bruno Mars,2017,1,84.86021505376344,0.7496666666666666,0.6456666666666667,-5150.666666666667,0.0553333333333333,0.081,0.5976666666666667,116.13978494623656,93,96.0
21,Bruno Martini,2017,1,31.193548387096776,0.788,0.43,-7757.0,0.042,0.537,0.461,169.80645161290323,31,64.0
22,Bryson Tiller,2017,1,199.5,0.765,0.356,-5556.0,0.195,0.223,0.189,1.5,2,83.0
23,CMC$,2017,1,120.26666666666668,0.713,0.733,-6431.0,0.152,0.093,0.502,80.73333333333333,30,48.0
24,CNCO,2017,1,37.0,0.761,0.838,-3073.0,0.05,0.4,0.71,164.0,31,68.0
25,Cali Y El Dandee,2017,1,194.0,0.766,0.747,-3.95,0.062,0.029,0.856,7.0,1,69.0
26,Callie Herndez,2017,1,189.5,0.618,0.542,-9155.0,0.193,0.092,0.273,11.5,2,
27,Calum Scott,2017,1,129.74193548387098,0.608,0.174,-8796.0,0.033,0.851,0.193,71.25806451612904,31,77.0
28,Calvin Harris,2017,1,55.494623655913976,0.6933333333333334,0.9223333333333332,-1859.02,0.0363333333333333,0.1636666666666666,0.4886666666666667,145.50537634408602,93,87.0
29,Carlos Vives,2017,1,98.90322580645162,0.736,0.964,-2147.0,0.129,0.198,0.953,102.09677419354838,31,75.0
30,Cashmere Cat,2017,1,86.96774193548387,0.42,0.636,-7216.0,0.22,0.494,0.784,114.03225806451611,31,56.0
31,Cedric Gervais,2017,1,184.33333333333331,0.6709999999999999,0.826,-5766.0,0.309,0.007,0.774,16.666666666666668,12,66.0
32,Chance the Rapper,2017,1,137.25806451612902,0.652,0.795,-5192.0,0.174,0.156,0.788,63.74193548387097,31,75.0
33,Charlie Puth,2017,1,47.61290322580645,0.728,0.563,-8053.0,0.134,0.621,0.352,153.38709677419354,31,81.0
34,Charly Black,2017,1,169.06451612903226,0.723,0.889,-4017.0,0.094,0.067,0.701,31.93548387096774,31,63.0
35,Cheat Codes,2017,1,116.65168539325845,0.5521685393258428,0.7499662921348315,-4806.865168539326,0.1163258426966292,0.0713932584269663,0.3752359550561798,84.34831460674157,89,67.0
36,Childish Gambino,2017,1,86.58064516129032,0.745,0.356,-10425.0,0.094,0.172,0.607,114.41935483870968,31,81.0
37,Chino & Nacho,2017,1,146.93548387096774,0.68,0.954,-1823.0,0.119,0.024,0.521,54.064516129032256,31,67.0
38,Chris Brown,2017,1,188.2962962962963,0.762,0.576,-4951.0,0.083,0.056,0.316,12.703703703703704,27,88.0
39,Chris Willis,2017,1,184.33333333333331,0.6709999999999999,0.826,-5766.0,0.309,0.007,0.774,16.666666666666668,12,60.0
40,Clean Bandit,2017,1,4.935483870967742,0.72,0.763,-4068.0,0.052,0.406,0.742,196.06451612903223,31,77.0
41,Coldplay,2017,1,141.01724137931035,0.5535517241379311,0.7277413793103448,-4942.46551724138,0.0419999999999999,0.2177413793103448,0.3780862068965517,59.98275862068966,58,92.0
42,Cosculluela,2017,1,191.66666666666663,0.7513333333333333,0.7516666666666666,-2553.983333333333,0.1806666666666666,0.0236666666666666,0.846,9.333333333333334,3,75.0
43,DJ Snake,2017,1,68.43548387096774,0.5435,0.709,-5320.0,0.051,0.049,0.1775,132.56451612903226,62,79.0
44,DNCE,2017,1,113.80645161290325,0.774,0.764,-5445.0,0.052,0.156,0.912,87.19354838709677,31,69.0
45,DVBBS,2017,1,120.26666666666668,0.713,0.733,-6431.0,0.152,0.093,0.502,80.73333333333333,30,60.0
