,Artist,Total Points 2024
1201,Peso Pluma,360453.1301185967
140,Taylor Swift,198334.72286454804
637,Feid,194186.09594871468
145,The Weeknd,140142.09771941288
1148,Jimin,134708.39873043314
290,SZA,133216.65062322645
1093,David Kushner,99231.2388490389
280,Bad Bunny,91665.72187642807
1159,Junior H,90075.28399691064
905,Kali Uchis,89963.10410824761
833,Morgan Wallen,83067.43678764673
1220,Grupo Frontera,76415.57534433113
271,Miley Cyrus,74092.80033630841
327,KAROL G,73426.47769821272
1249,Fuerza Regida,72640.55531961861
503,Arctic Monkeys,71049.4311234097
43,Eminem,66552.44899258864
286,Manuel Turizo,65941.83485770997
131,Shakira,55492.43723205673
1009,Eslabon Armado,54404.477529201315
0,21 Savage,52850.41481778452
267,OneRepublic,51719.00258171564
175,Chris Brown,51132.51335731491
649,ROSALÍA,44147.738820428465
699,Bizarrap,44046.77185290013
255,Harry Styles,44011.77935175579
984,PinkPantheress,43779.41060341615
959,Eladio Carrion,43176.06210465109
1138,Yahritza Y Su Esencia,43162.21919267316
1238,Ana Castela,41622.04578966898
201,Beyoncé,41467.65814379815
334,Miguel,40052.915588051095
715,TINI,38971.88162464516
100,Metro Boomin,38573.39057575262
83,Lil Uzi Vert,38185.39502497765
194,Imagine Dragons,37919.67427952663
28,Coldplay,36834.80592011312
404,Meghan Trainor,35504.729442861266
113,Ozuna,32789.3351615094
124,Rihanna,32249.99703293562
225,Lana Del Rey,31899.984316826827
171,Selena Gomez,30807.000572614492
35,David Guetta,30337.289404243864
170,Sam Smith,29863.020106229727
1121,JVKE,28723.1901863143
521,070 Shake,28552.821370686186
11,Bebe Rexha,28268.972974815704
1211,Keane,26901.933702439448
520,BLACKPINK,26800.27802964577
825,Taiu,24639.548307153607
32,Daft Punk,24341.490890723806
120,RAYE,23927.988079724815
797,Agust D,22382.004337039667
1112,Em Beihold,22351.64870721545
214,Sabrina Carpenter,22321.169098240083
264,Yandel,21132.97160794048
1186,A Castela,19364.36168195326
1046,Blessd,19302.63274251283
18,Calvin Harris,18977.174270543866
1167,Tears For Fears,18365.077839544974
1137,Nile Rodgers,18050.319202558352
1036,SEVENTEEN,18018.177857300234
134,Sia,17876.349767308857
63,J. Cole,17705.037882881705
1243,New West,17653.038629083538
560,Marília Mendonça,16799.27231871969
823,One Direction,16246.40152362151
602,Lewis Capaldi,15850.84802020032
460,Tory Lanez,15441.540949998871
110,Nicki Minaj,14981.011610969967
879,Migrantes,14869.230429312352
1120,Eden Muñoz,13194.719644665409
557,Joji,13164.853809357253
989,Ruth B.,13030.562620244558
799,Kim Petras,12954.214257724158
1210,d4vd,12906.760193111468
51,Future,12880.361211719232
707,Melanie Martinez,12627.696419565973
670,NLE Choppa,12611.214404567603
165,Lady Gaga,12385.124855511809
480,Bomba Estéreo,11869.031270452859
313,Romeo Santos,11753.879393751478
203,Khalid,11682.94279630723
308,Vance Joy,11500.839593669454
297,"Tyler, The Creator",11446.699423656777
766,Ñengo Flow,10311.351808350359
126,Robin Schulz,10294.744523780499
644,Myke Towers,10169.410989243876
927,Tom Odell,9319.172450286682
477,Gesaffelstein,9072.17688497448
938,ENHYPEN,8692.484032785782
1087,Carin Leon,8029.3421478803
218,Ellie Goulding,7889.385659539472
664,Luke Combs,7788.514697868044
9,Ariana Grande,7593.044712983668
805,The Kid LAROI,7088.461064732246
829,Glass Animals,6727.384029105333
588,Wisin & Yandel,6578.2674159077915
1102,Muni Long,6530.906716920521
1088,Beach House,6499.739873426341
851,Matuê,5883.198174582837
788,IU,5821.295745403668
329,Marshmello,5301.088840142266
443,Jay Rock,5206.288390088492
548,a-ha,4910.8193953170085
71,Justin Bieber,4832.922059305925
535,Dean Lewis,4828.629452767036
118,Post Malone,4788.809951414067
1205,Maldy,4672.066110788442
222,Linkin Park,4607.141632861276
695,Lil Durk,4471.171410933288
1234,Yuridia,4455.6815716274905
794,Brray,4269.313924792005
876,Ángela Aguilar,4140.4210555511445
109,Niall Horan,4015.1008815361756
276,Anitta,3942.9598952682572
66,James Arthur,3858.0694352893524
248,Gorillaz,3816.532475144766
1077,Arcángel,3787.015871595309
37,Drake,3776.8529789048685
1084,Ray Dalton,3768.1983898976077
1085,Ryan Lewis,3768.1983898976077
1140,WIU,3647.0990727811736
471,Duki,3548.4919052718888
1118,Cris Mj,3543.039371372704
1086,Wizkid,3527.10435294722
482,Florence + The Machine,3334.5279334581346
1049,IVE,3284.0289717200994
683,Lazza,3273.500951234312
740,Don Toliver,3175.0487149533847
638,Sech,3140.085408831604
1010,Central Cee,3054.764832527817
581,(G)I-DLE,3048.3974368650615
1195,Grupo Marca Registrada,2959.8323572012387
918,Israel & Rodolffo,2661.060538440469
91,Macklemore & Ryan Lewis,2616.1032818767735
700,Nicki Nicole,2586.9709439732583
821,Tina Turner,2579.508890162228
292,Macklemore,2456.416625744891
333,Mambo Kingz,2377.737984156577
332,DJ Luian,2377.737984156577
464,j-hope,2340.415595765076
129,Sean Paul,2301.9478962423386
146,Travis Scott,2024.4846556708465
478,Zé Neto & Cristiano,1912.3624848363575
350,NF,1844.4048003085095
351,Rich The Kid,1775.263170357774
575,RM,1743.5448160042388
1232,TWISTED,1657.8988089279621
760,beabadoobee,1638.2625962759437
215,XXXTENTACION,1611.8738486325317
8,Anne-Marie,1598.3553870794362
968,Mari Ferndez,1500.576027312969
639,TOMORROW X TOGETHER,1441.197581784901
1175,Luis R Conriquez,1365.1051344681996
1065,Mari Fernandez,1267.500077864643
436,Lucenzo,1173.9445038175304
545,Jessie Reyez,1149.896913387
64,JAY-Z,1080.5938913575976
76,Kendrick Lamar,1057.4770574140493
31,Daddy Yankee,1011.7187064306755
505,Lil Baby,953.0770097082464
660,DaBaby,889.1016286773387
1061,PNAU,751.7966808569408
262,Lil Yachty,747.0016504826763
180,Don Omar,708.6942872176523
1014,LISA,667.0909615871126
656,MEDUZA,562.7093761344637
58,Halsey,501.57171880092176
932,Beéle,394.01553151449866
1116,50 Cent,330.4855612710167
152,Young Thug,301.25004731793234
238,P!nk,284.7080021867439
95,Mark Ronson,280.6180233961745
515,Wesley Safadão,272.637047151551
589,MERO,256.4219990823691
977,mc jhenny,147.70322305973554
277,Camila Cabello,138.40970265962181
565,Bradley Cooper,126.41951428450865
701,Apache 207,104.31140484400044
263,Paramore,87.95110953733825
979,Emilia,84.54174122237836
716,Black Eyed Peas,82.3495397709475
1204,MC Ryan SP,63.230605439562254
513,Matheus & Kauan,52.65536005623933
119,Queen,28.89763979039
598,Whitney Houston,10.076471307956945
172,The Killers,8.599034446610704
873,Xand Avião,7.692123690003141
102,Michael Jackson,6.995243770825912
207,Journey,1.327075393437037
834,BANNERS,0.0
806,Tyla Yaweh,0.0
802,Conkarah,0.0
803,Jawsh 685,0.0
804,Nea,0.0
855,Stray Kids,0.0
854,Ashnikko,0.0
853,Ritt Momney,0.0
867,CJ,0.0
852,Quarterhead,0.0
801,Harry Nach,0.0
850,Vedo,0.0
807,Peach Tree Rascals,0.0
808,Wallows,0.0
849,Money Man,0.0
809,Curtis Waters,0.0
